hemisferio;latitud;ra;mes
N;38;9.6;octubre
N;36;10;octubre
N;34;10.4;octubre
N;32;10.9;octubre
N;30;11.3;octubre
N;28;11.6;octubre
N;26;12;octubre
N;24;12.3;octubre
N;22;12.7;octubre
N;20;13;octubre
N;18;13.3;octubre
N;16;13.6;octubre
N;14;13.8;octubre
N;12;14.1;octubre
N;10;14.3;octubre
N;8;14.5;octubre
N;6;14.7;octubre
N;4;14.9;octubre
N;2;15.1;octubre
N;0;15.3;octubre
S;70;9.6;octubre
S;68;10;octubre
S;66;10.4;octubre
S;64;10.7;octubre
S;62;11.1;octubre
S;60;11.5;octubre
S;58;11.8;octubre
S;56;12.2;octubre
S;54;12.5;octubre
S;52;12.8;octubre
S;50;13.1;octubre
S;48;13.4;octubre
S;46;13.7;octubre
S;44;13.9;octubre
S;42;14.2;octubre
S;40;14.4;octubre
S;38;14.6;octubre
S;36;14.8;octubre
S;34;15;octubre
S;32;15.1;octubre
S;30;15.3;octubre
S;28;15.4;octubre
S;26;15.5;octubre
S;24;15.6;octubre
S;22;15.7;octubre
S;20;15.8;octubre
S;18;15.8;octubre
S;16;15.8;octubre
S;14;15.8;octubre
S;12;15.8;octubre
S;10;15.7;octubre
S;8;15.7;octubre
S;6;15.6;octubre
S;4;15.5;octubre
S;2;15.4;octubre
S;0;15.3;octubre
N;70;0;noviembre
N;68;0.3;noviembre
N;66;0.6;noviembre
N;64;1;noviembre
N;62;1.4;noviembre
N;60;1.8;noviembre
N;58;2.2;noviembre
N;56;2.7;noviembre
N;54;3.2;noviembre
N;52;3.7;noviembre
N;50;4.2;noviembre
N;48;4.7;noviembre
N;46;5.1;noviembre
N;44;5.7;noviembre
N;42;6.2;noviembre
N;40;6.7;noviembre
N;38;7.1;noviembre
N;36;7.6;noviembre
N;34;8.1;noviembre
N;32;8.6;noviembre
N;30;9.1;noviembre
N;28;9.5;noviembre
N;26;10;noviembre
N;24;10.4;noviembre
N;22;10.9;noviembre
N;20;11.3;noviembre
N;18;11.7;noviembre
N;16;12.1;noviembre
N;14;12.5;noviembre
N;12;12.9;noviembre
N;10;13.2;noviembre
N;8;13.6;noviembre
N;6;13.9;noviembre
N;4;14.2;noviembre
N;2;14.5;noviembre
N;0;14.8;noviembre
S;70;15.2;noviembre
S;68;15.3;noviembre
S;66;15.3;noviembre
S;64;15.5;noviembre
S;62;15.6;noviembre
S;60;15.8;noviembre
S;58;16;noviembre
S;56;16.1;noviembre
S;54;16.3;noviembre
S;52;16.4;noviembre
S;50;16.6;noviembre
S;48;16.7;noviembre
S;46;16.8;noviembre
S;44;16.9;noviembre
S;42;17;noviembre
S;40;17.1;noviembre
S;38;17.1;noviembre
S;36;17.1;noviembre
S;34;17.1;noviembre
S;32;17.1;noviembre
S;30;17.1;noviembre
S;28;17.1;noviembre
S;26;17.1;noviembre
S;24;17;noviembre
S;22;16.9;noviembre
S;20;16.8;noviembre
S;18;16.7;noviembre
S;16;16.6;noviembre
S;14;16.4;noviembre
S;12;16.2;noviembre
S;10;16;noviembre
S;8;15.8;noviembre
S;6;15.6;noviembre
S;4;15.3;noviembre
S;2;15.1;noviembre
S;0;14.8;noviembre
N;70;0;diciembre
N;68;0;diciembre
N;66;0;diciembre
N;64;0.2;diciembre
N;62;0.5;diciembre
N;60;0.9;diciembre
N;58;1.3;diciembre
N;56;1.7;diciembre
N;54;2.1;diciembre
N;52;2.6;diciembre
N;50;3.1;diciembre
N;48;3.6;diciembre
N;46;4;diciembre
N;44;4.5;diciembre
N;42;5.1;diciembre
N;40;5.6;diciembre
N;38;6;diciembre
N;36;6.6;diciembre
N;34;7.1;diciembre
N;32;7.6;diciembre
N;30;8.1;diciembre
N;28;8.6;diciembre
N;26;9.1;diciembre
N;24;9.5;diciembre
N;22;10;diciembre
N;20;10.4;diciembre
N;18;10.9;diciembre
N;16;11.4;diciembre
N;14;11.8;diciembre
N;12;12.2;diciembre
N;10;12.7;diciembre
N;8;13.1;diciembre
N;6;13.4;diciembre
N;4;13.8;diciembre
N;2;14.2;diciembre
N;0;14.5;diciembre
S;70;18.5;diciembre
S;68;18.2;diciembre
S;66;18;diciembre
S;64;17.9;diciembre
S;62;17.9;diciembre
S;60;17.9;diciembre
S;58;18;diciembre
S;56;18;diciembre
S;54;18.1;diciembre
S;52;18.1;diciembre
S;50;18.2;diciembre
S;48;18.2;diciembre
S;46;18.2;diciembre
S;44;18.2;diciembre
S;42;18.2;diciembre
S;40;18.2;diciembre
S;38;18.2;diciembre
S;36;18.1;diciembre
S;34;18.1;diciembre
S;32;18;diciembre
S;30;17.9;diciembre
S;28;17.8;diciembre
S;26;17.7;diciembre
S;24;17.6;diciembre
S;22;17.4;diciembre
S;20;17.2;diciembre
S;18;17;diciembre
S;16;16.8;diciembre
S;14;16.6;diciembre
S;12;16.3;diciembre
S;10;16.1;diciembre
S;8;15.8;diciembre
S;6;15.5;diciembre
S;4;15.2;diciembre
S;2;14.9;diciembre
S;0;14.5;diciembre
