Hemisferio;Latitud;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
S;22;17.2;16.4;14.8;12.5;10.4;9.4;9.8;11.5;13.8;15.7;16.9;17.4
S;20;17.1;16.3;14.9;12.8;10.9;9.8;10.2;11.8;14.0;15.8;16.8;17.2
S;18;16.9;16.3;15.1;13.1;11.2;10.2;10.6;12.2;14.2;15.8;16.7;17.0
S;16;16.8;16.3;15.2;13.4;11.6;10.7;11.0;12.5;14.4;15.8;16.6;16.8
S;14;16.6;16.2;15.3;13.6;12.0;11.1;11.4;12.8;14.5;15.8;16.4;16.6
S;12;16.4;16.2;15.4;13.9;12.3;11.5;11.8;13.1;14.7;15.8;16.2;16.3
S;10;16.1;16.0;15.4;14.1;12.7;11.9;12.2;13.4;14.8;15.7;16.0;16.1
S;8;15.9;15.9;15.5;14.3;13.0;12.2;12.5;13.6;14.9;15.7;15.8;15.8
S;6;15.6;15.8;15.5;14.5;13.3;12.6;12.9;13.9;15.0;15.6;15.6;15.5
S;4;15.3;15.6;15.5;14.7;13.6;13.0;13.2;14.1;15.1;15.5;15.3;15.2
S;2;15.1;15.5;15.5;14.9;13.9;13.3;13.5;14.4;15.1;15.4;15.1;14.9
S;0;14.8;15.3;15.5;15.0;14.2;13.6;13.8;14.6;15.2;15.3;14.8;14.5
